cohort,predictor,pathway,family,analysis,n,partial_rho,p_value,hc3_beta,hc3_se,hc3_p_value,fdr_bh,hc3_fdr_bh
GSE176078,high_cluster_logit_residual,dysfunction_tolerization,secondary,drop_signature_overlap,25,0.31128036839428425,0.12986398371237073,0.3968057871192118,0.08732845193666666,5.524077196736884e-06,0.46932167067716646,2.762038598368442e-05
GSE161529,state_residual,lipid_metabolism,primary,drop_signature_overlap,29,0.6636618385915234,8.684706292845397e-05,0.5218071335492538,0.16399674976950804,0.0014635584171799674,0.00043423531464226986,0.007317792085899838
GSE161529,state_residual,phagolysosome,primary,drop_signature_overlap,29,0.5655104904306393,0.001389007852151975,0.43267801870607053,0.18964718434927935,0.022519510144546336,0.0034725196303799374,0.02814938768068292
GSE161529,state_residual,ECM_remodelling,primary,drop_signature_overlap,29,0.3756850711536867,0.04460224785170386,0.5462777367882043,0.23911610866552374,0.022337992719310456,0.05575280981462982,0.02814938768068292
GSE161529,state_residual,T_cell_exclusion_like,primary,drop_signature_overlap,29,0.41506495378542285,0.025158062840926875,0.47024817652452194,0.1822049514901197,0.009855030146069888,0.041930104734878126,0.02463757536517472
GSE161529,state_residual,antigen_presentation,primary,drop_signature_overlap,29,0.08757945143776433,0.6514463268418854,0.15887212222001956,0.14427225310649572,0.2708110781649431,0.6514463268418854,0.2708110781649431
GSE161529,state_residual,efferocytosis,secondary,drop_signature_overlap,29,0.2569439416696637,0.17845087170688215,0.17232748302202075,0.18638985616832432,0.35519796146203475,0.29741811951147024,0.554343843135932
GSE161529,state_residual,MAPK_ERK_immediate_early,secondary,drop_signature_overlap,29,-0.09883177182948057,0.6100052506656158,-0.28124602577725444,0.433834021551285,0.5168037088469126,0.6100052506656158,0.554343843135932
GSE161529,state_residual,p38_stress_response,secondary,drop_signature_overlap,29,-0.1246667590595387,0.5193540835494596,-0.25941344143054174,0.43874417449652103,0.554343843135932,0.6100052506656158,0.554343843135932
GSE161529,state_residual,STING_typeI_IFN_response,secondary,drop_signature_overlap,29,0.28184650613356244,0.1385410861682416,0.5016705289883097,0.23789058256199855,0.03495935546990122,0.29741811951147024,0.08739838867475305
GSE161529,state_residual,dysfunction_tolerization,secondary,drop_signature_overlap,29,0.5702926543875867,0.0012377748741768462,0.5377402917716256,0.16231238616137275,0.0009230228846007725,0.006188874370884231,0.004615114423003863
GSE161529,ARL11_prevalence_residual,lipid_metabolism,primary,drop_signature_overlap,29,-0.2149283962588206,0.2628585713231065,-0.14291008435609734,0.19270137217299377,0.4583210848588246,0.4776059622637018,0.6389402060600107
GSE161529,ARL11_prevalence_residual,phagolysosome,primary,drop_signature_overlap,29,0.12919319523801392,0.50417738701723,0.09990509349734344,0.15205219844473888,0.5111521648480085,0.50417738701723,0.6389402060600107
GSE161529,ARL11_prevalence_residual,ECM_remodelling,primary,drop_signature_overlap,29,0.2415961743275267,0.20672942341582967,0.09490589849584681,0.2461979355520847,0.6998772532605777,0.4776059622637018,0.6998772532605777
GSE161529,ARL11_prevalence_residual,T_cell_exclusion_like,primary,drop_signature_overlap,29,0.19948983915934076,0.29950033045973545,0.17147520157824048,0.14215911143176396,0.22773257077052333,0.4776059622637018,0.5693314269263083
GSE161529,ARL11_prevalence_residual,antigen_presentation,primary,drop_signature_overlap,29,-0.1685577332583397,0.3820847698109614,-0.28285588109590987,0.16135799900846842,0.07960699760326095,0.4776059622637018,0.39803498801630477
GSE161529,ARL11_prevalence_residual,efferocytosis,secondary,drop_signature_overlap,29,0.07063395830005055,0.7157839960778193,0.09848857556936877,0.14303663785474666,0.49110342077821856,0.8038999519942021,0.5213860955789975
GSE161529,ARL11_prevalence_residual,MAPK_ERK_immediate_early,secondary,drop_signature_overlap,29,-0.3553751443002309,0.05851015371634558,-0.15871338940508128,0.23912657191731598,0.506868730267998,0.2925507685817279,0.5213860955789975
GSE161529,ARL11_prevalence_residual,p38_stress_response,secondary,drop_signature_overlap,29,-0.2506229589642257,0.1897485734803914,-0.12955205626406893,0.20204302362041263,0.5213860955789975,0.4743714337009785,0.5213860955789975
GSE161529,ARL11_prevalence_residual,STING_typeI_IFN_response,secondary,drop_signature_overlap,29,0.061602718421508024,0.7509021308291302,0.15106834185475015,0.21909210538590446,0.49049622566760775,0.8038999519942021,0.5213860955789975
GSE161529,ARL11_prevalence_residual,dysfunction_tolerization,secondary,drop_signature_overlap,29,0.048202234006187714,0.8038999519942021,0.13332032940783828,0.1796370435340596,0.4579873614191732,0.8038999519942021,0.5213860955789975
GSE161529,high_cluster_logit_residual,lipid_metabolism,primary,drop_signature_overlap,29,0.10068727682390866,0.6032791111114841,0.13013770135074118,0.0964488636742248,0.1772431236871863,0.9482323173104155,0.7197070567974708
GSE161529,high_cluster_logit_residual,phagolysosome,primary,drop_signature_overlap,29,0.28065433908688525,0.14028926038362521,0.10903247032860088,0.2021719796985026,0.5896760412115736,0.7014463019181261,0.737095051514467
GSE161529,high_cluster_logit_residual,ECM_remodelling,primary,drop_signature_overlap,29,0.007717096831284496,0.9683081341563533,0.07917336454149938,0.35246775105665945,0.8222703613767531,0.9683081341563533,0.8222703613767532
GSE161529,high_cluster_logit_residual,T_cell_exclusion_like,primary,drop_signature_overlap,29,0.05964405463746349,0.7585858538483323,0.21278108162265608,0.20021223894417045,0.28788282271898835,0.9482323173104155,0.7197070567974708
GSE161529,high_cluster_logit_residual,antigen_presentation,primary,drop_signature_overlap,29,-0.17649808764766303,0.35972899946984493,-0.07718916629167252,0.11453566898984036,0.5003550249583919,0.8993224986746123,0.737095051514467
GSE161529,high_cluster_logit_residual,efferocytosis,secondary,drop_signature_overlap,29,0.2956141759788055,0.11948567344213697,0.23775891338699057,0.14819744297937434,0.10863938476217369,0.19914278907022828,0.14332182122532924
GSE161529,high_cluster_logit_residual,MAPK_ERK_immediate_early,secondary,drop_signature_overlap,29,0.4371378986374461,0.01772984674274534,0.39707891363504416,0.17009322967587315,0.019570703336972566,0.044324616856863355,0.09785351668486283
GSE161529,high_cluster_logit_residual,p38_stress_response,secondary,drop_signature_overlap,29,0.5378841845193048,0.0026168225478015576,0.4084046816162709,0.21440486700815528,0.05680225848605698,0.013084112739007787,0.14200564621514244
GSE161529,high_cluster_logit_residual,STING_typeI_IFN_response,secondary,drop_signature_overlap,29,0.14422748037400132,0.4554014951197098,0.31444642924553456,0.19931944970803656,0.11465745698026339,0.5692518688996372,0.14332182122532924
GSE161529,high_cluster_logit_residual,dysfunction_tolerization,secondary,drop_signature_overlap,29,0.0931736798605505,0.630706405265281,0.16756790923493922,0.22164390764662711,0.4496353593007495,0.630706405265281,0.4496353593007495
